tags,gloss,type,subcategories
intense,intense,initial,
intensity,intensity,initial,
intercept,intercept,initial,
into,into,initial,
into (brush),into brush,initial,
into,into him/it,initial,
into (water),into the water,initial,
into (water),into water,initial,
"at (water)
into (center)
toward (center)
toward (river)","into, toward the center, at the water, toward a river",initial,
"invite
extricate","invite, extricate",initial,
"on
onto","is on, onto",initial,
good,it is good that s.t. is/will be done,initial,
itch,itch,initial,
"itch
scratch","itch, scratch",initial,
itchy,itchy,initial,
"itchy
scratch",itchy; scratch (an itch),initial,
"jab
jerk","jab, jerk",initial,
jealous,jealous,initial,
jingle,jingle,initial,
"join
together","join, together",initial,
joined,joined,initial,
joy,joy,initial,
jump,jump,initial,
jump (in water),jump in water,initial,
"just
only","just, only",initial,
"keep away
reject","keep away, reject",initial,
kettle,kettle,initial,
kick,kick,initial,
kill,kill,initial,
kind,kind,initial,
kind of,kind of,initial,
kiss,kiss,initial,
knife,knife,initial,
know,know,initial,
know (how),know how,initial,
know (how),know how to,initial,
"know
learn
teach","know, learn, teach",initial,
"know
recognize","know, recognize",initial,
"fall short
lack","lack, fall short",initial,
"cripple
damage
lame","lame, damage, cripple",initial,
landward,landward,initial,
larch,larch,initial,
large,large,initial,
"large
loudly
wide","large, loudly, wide",initial,
"bored
weary","las, ennuyé",initial,
last,last (in a series),initial,
"end
last","last, end",initial,
laugh,laugh,initial,
"laugh
mock","laugh, mock",initial,
"lay
platform
surface","lay, surface, platform",initial,
lazy,lazy,initial,
lead,lead,initial,
"hold (by chain, rope)
lead (by chain, rope)",lead or hold at the end of a rope or chain,initial,
"leafy
top",leafy top,initial,
leak,leak,initial,
lean,lean,initial,
leave,leave,initial,
leave (by boat),leave by boat,initial,
"leave
move on","leave, move on",initial,
leg,leg,initial,
spread (legs),legs spread,initial,
"gradually
slowly","lentement, graduellement",initial,
"painfully
slowly","lentement, péniblement",initial,
"let go
set down","let go, set down",initial,
level,level,initial,
lick,lick,initial,
"lick
suck","lick, suck",initial,
"lie
speak","lie, speak",initial,
lift,lift,initial,
light,light,initial,
light (color),light coloured,initial,
light (weight),light in weight,initial,
"light
bright","light, bright",initial,
"bright
flash
light
see","light, flash, bright, see",initial,
"light
look","light, look",initial,
"light
see
white","light, see, white",initial,
"light
shine","light, shine",initial,
like,like,initial,
like (V),like to do s.t.,initial,
"like (V)
enjoy","like to, enjoy ... -ing",initial,
"like (V)
enjoy","like to, enjoy Xing",initial,
"like (ADV)
similar","like, similar to",initial,
"motion (linear)
position (linear)",linear motion or position,initial,
listen,listen,initial,
little,little,initial,
"little
small","little, small",initial,
live,live,initial,
liver,liver,initial,
"fill (V)
load (V)","load, fill, as of filling a pipe, gun, or storage container",initial,
lobster,lobster,initial,
location,location,initial,
lonely,lonely,initial,
lonesome,lonesome,initial,
long,long,initial,
long,long (of plural objects),initial,
long,long (pl.),initial,
long for,long for,initial,
long time,long in time,initial,
long point,long point,initial,
long time,long time,initial,
"long
tall","long, tall",initial,
look,look,initial,
look,look at,initial,
look for,look for,initial,
"look for
search
seek","look for, seek, search",initial,
"dawn
look
white",look; white; dawn,initial,
loon,loon,initial,
loose,loose,initial,
"loose
shaggy","loose, shaggy",initial,
"loose
shaky
slack","loose, shaky, slack",initial,
"detach
free (V)
loosen
release
separate (V)
untie","loosen, detach, separate, untie, release, set free",initial,
lose,lose,initial,
"go (wrong way)
lose (one's way)","lose one's way, go the wrong way",initial,
"fail
forget
lose
wrong","lose, forget, fail, wrong",initial,
loss,loss,initial,
loud,loud,initial,
noise (loud),loud noise,initial,
"fast
loud","loud, fast",initial,
louse,louse,initial,
low,low,initial,
"flat
low","low, flat",initial,
lower,lower,initial,
back (lower),lower back,initial,
"descend
lower","lower, descend",initial,
"bump (N)
hump
knob
lump","lump, bump, knob, hump",initial,
lumpy,lumpy,initial,
"curdled
lumpy","lumpy, curdled",initial,
"maggot
worm","maggot, worm",initial,
"magical
wobbly","magical, wobbly",initial,
make as if to,make as if to ...,initial,
vibrate,make vibrate,initial,
"music
sound (N)","making sounds, making music",initial,
"bad
wrong","mal, mauvais",initial,
"male
man",male,initial,
"male
man",man,initial,
"male
man",man (male),initial,
"enough
manage","manage to, enough",initial,
"can
deal with
manage","manage, deal with, can",initial,
"direction
kind
manner
size
thus","manner, size, direction, kind; thus",initial,
many,many,initial,
kind (many),many kinds,initial,
mark,mark,initial,
"guide
identify
indicate
mark
represent
show
signal","mark, represent, signal, identify, guide, indicate, show",initial,
"crush
mash","mash, crush",initial,
mat,mat,initial,
"fire
match","match, fire",initial,
measure,measure,initial,
measurement,measurement,initial,
meat,meat,initial,
medicine,medicine,initial,
wary,méfiant,initial,
melt,melt,initial,
"melt
thaw","melt, thaw",initial,
mend,mend,initial,
mess,mess,initial,
"dirty
messy","messy, dirty",initial,
meticulous,meticulous,initial,
Micmac,Micmac,initial,
middle,middle,initial,
"apex
middle","middle, as the apex of a curve, bow",initial,
milk,milk,initial,
"miserable
pitiful
poor","miserable, pitiful; poor (in property or money)",initial,
"lost
misplaced",misplaced; lost,initial,
miss,miss,initial,
mistake,mistake,initial,
mix,mix,initial,
mixed,mixed together,initial,
mixed up,mixed up,initial,
moccasin,moccasin,initial,
mock,mock,initial,
climb,montée,initial,
ride (a rapid),monter un rapide,initial,
moose,moose,initial,
"additional
more","more, additional",initial,
"beyond
farther
more
superior","more, farther, beyond, superior",initial,
"farther
more",more; farther,initial,
moss,moss,initial,
"most
prefer
rather","most, prefer, rather",initial,
"mottled
spotted","mottled, spotted",initial,
sheep,mountain sheep,initial,
mourn,mourn,initial,
"mourn
mournful","mourn, mournful",initial,
mouth,mouth,initial,
action (spring),mouvement de ressort,initial,
move,move,initial,
move,move (repeatedly),initial,
"bring
move","move a tangible object from one point to another, bring",initial,
move camp,move camp,initial,
"begin
move","move, begin",initial,
"afresh
anew
change
move","move, change, afresh, anew",initial,
movement (toward),movement inward,initial,
move around,moving around,initial,
"bald
clear
mow","mow, clear, bald",initial,
much,much,initial,
"a lot
highly
much
too","much, a lot, highly, too",initial,
"greatly
much","much, greatly",initial,
"a lot
many
much","much, many, a lot",initial,
mud,mud,initial,
muddy,muddy,initial,
muddy,muddy water,initial,
mushroom,mushrooms,initial,
music,music,initial,
muskrat,muskrat,initial,
my,my (possessive),initial,
"mystic
power",mystic power,initial,
"mystic
rite",mystic rite,initial,
nail,nail,initial,
"naked
nude","naked, nude",initial,
name,name,initial,
"call
name (V)","name, call",initial,
flat,flat,initial,
narrate,narrate,initial,
narrow,narrow,initial,
navel,navel,initial,
unfinished,ne pas parvenir à terme,initial,
near,near,initial,
"close
near
next to","near, next to, close to",initial,
nearby,nearby,initial,
"almost
nearly","nearly, almost",initial,
neat,neatly,initial,
neck,neck,initial,
"disbelieve
fail
negative
refuse","negative, fail, disbelieve, refuse",initial,
nest,nest,initial,
net,net,initial,
"grid
netting","netting, grid",initial,
never,never do s.t.,initial,
new,new,initial,
"new
young","new, young",initial,
"fresh
new
raw
young","new, young, fresh, raw",initial,
next,next,initial,
next,next (time),initial,
"next to
nearby","next to, nearby",initial,
next to,"next to, with contact",initial,
"beside
next to
with","next to, with, beside",initial,
"nice
properly
skillful","nice, properly, skillful",initial,
night,night,initial,
nine,nine,initial,
no longer,no longer do s.t.,initial,
noisy,noisy,initial,
"chaotic
lively
noisy","noisy, chaotic, lively",initial,
"gone
lacking
none","none, lacking, all gone",initial,
north,north,initial,
unable,not able to do s.t.,initial,
notice,notice,initial,
"nudge
prod","nudge, prod",initial,
numerous,numerous,initial,
obstruct,obstruct,initial,
off,off of,initial,
off,off of him/it,initial,
off,"off, off of him/it",initial,
oily,oily,initial,
Ojibwa,Ojibwa,initial,
old,old,initial,
old,old (not new),initial,
older brother,older brother,initial,
"leave out
omit","omit, leave out",initial,
on,on,initial,
ahead,on ahead,initial,
on and off,on and off,initial,
on board,on board,initial,
"end (both)
side (both)","on both sides, both ends",initial,
on,on him/it,initial,
on (side),on its side,initial,
on (side),on one side,initial,
"by (self)
on one's own","on one's/its own, by one-/itself",initial,
on,on something,initial,
left (side),on the left side,initial,
side (opposite),on the opposite side,initial,
side (other),on the other side of water,initial,
right (side),on the right side,initial,
top,on top,initial,
top,on top of,initial,
"on
top","on top of, on, surface contact",initial,
top,"on top of, surface contact",initial,
"from here
hence
surface
top","on top, hence surface-dwelling",initial,
top,"on top, surface-dwelling",initial,
"top
up","on top, up",initial,
one,one,initial,
"alone
one","one, alone",initial,
"one
other","one, other",initial,
only,only,initial,
open,open,initial,
open (eyes),open eyes,initial,
open (V),open up,initial,
"open (V)
part (V)","open, part",initial,
"open (A)
through","open, through",initial,
"open (V)
unlock","open, unlock",initial,
"fearlessly
openly","openly, fearlessly",initial,
"back out
bluntly
fearlessly
openly","openly, fearlessly, bluntly, back out",initial,
direction (opposite),opposite direction,initial,
opposite,opposite each other,initial,
oppress,oppress,initial,
ordinary,ordinary,initial,
"common
ordinary","ordinary, common ",initial,
"Indian
ordinary","ordinary, Indian",initial,
"ordinary
plain","ordinary, plain",initial,
other,other,initial,
otter,otter,initial,
out,out,initial,
out around,out around him/it,initial,
out of (water),out from water,initial,
out (front),out front,initial,
out of,out of,initial,
out (of liquid),out of a liquid,initial,
"out (of liquid)
serve (food)","out of a liquid, serve food",initial,
out of,out of enclosure,initial,
out of,out of enclosure or entanglement,initial,
out of,out of him/it,initial,
out of sight,out of sight,initial,
"out of sight
underground
underwater",out of sight underwater or underground,initial,
out of (water),out of the water,initial,
out of the way,out of the way,initial,
out of view,out of view below a surface (ground or water),initial,
out of (water),out of water,initial,
out (to sea),en direction du large,initial,
"of
out","out, of",initial,
"out
out of","out, out of him/it",initial,
outside,outside,initial,
over,over,initial,
over to (side),over (to the other side of) him/it,initial,
over in line of sight,over in line of sight,initial,
"over (top)
side (other)","over the top, on the other side of hills, mountains, etc.",initial,
"across
over","over, across",initial,
overheard,overheard,initial,
overnight,overnight,initial,
overtake,overtake,initial,
"flip over
overturn","overturn, flip over",initial,
own,own,initial,
"aside
off
pack","pack; off, aside",initial,
paddle,paddle,initial,
pain,pain,initial,
"color
paint","paint, color",initial,
pale,pale (white),initial,
by mistake,par erreur,initial,
speak,parler,initial,
partially,partially,initial,
"incompletely
partially","en partie, incomplètement",initial,
"feather
hair
particle","particles, hair, feathers",initial,
partly,partly,initial,
reach,parvenir,initial,
pass,pass,initial,
past,past,initial,
"path
road","path, road",initial,
patient,patient,initial,
"faithful
patient","patient, faithful",initial,
peace,peace,initial,
"knock
peck","peck, knock (repeated action)",initial,
peel,peel,initial,
peel (N),peel (thin surface),initial,
penetrate,penetrate,initial,
enter,pénétrer,initial,
perched,perched on him/it,initial,
perforate,perforate,initial,
"flutter
perked
ripple","perked, flutter ??, ripple ??",initial,
permanent ,permanent ,initial,
"gather
pick up","pick up, gather",initial,
"pick up
take","pick up, take",initial,
"gather
pick","pick, gather",initial,
"harvest
pick","pick, harvest",initial,
pick up,picked up,initial,
piece,"pieces, small",initial,
pierce,pierce,initial,
pigeon,pigeon,initial,
pike,pike,initial,
pile up,pile up,initial,
"bundle
pile","pile, bundle",initial,
"pile
stack","pile, stack",initial,
pin,pin,initial,
pink,pink,initial,
pipe,pipe,initial,
pitiful,pitiful,initial,
"piteous
pitiful","pitiful, piteous",initial,
pity,pity,initial,
placate,placate,initial,
place,place,initial,
placed,placed,initial,
plant,plant,initial,
play,play,initial,
pleasant,pleasant,initial,
please,pleasing,initial,
plenty,plenty,initial,
"detach
pluck","pluck, detach",initial,
several,plusieurs,initial,
pointed,pointed,initial,
poke,poke,initial,
poor,poor,initial,
"badly
poor","poor, badly",initial,
"poorly
unskilled","poorly, unskilled",initial,
popular,popular,initial,
porcupine,porcupine,initial,
position,position,initial,
potato,potato,initial,
pound,pound,initial,
pour,pour,initial,
pour out,pour out (intransitive),initial,
"depart
expertise
practice","practise, expertise; depart",initial,
pray,pray,initial,
prepare,prepare,initial,
"prepare
ready","prepare, ready",initial,
"prepared
ready","prepared, ready",initial,
press,press,initial,
press,press against,initial,
"hold
press down","press down, hold",initial,
"hold down
press down","press down, hold down",initial,
press on,press upon,initial,
"force
press","press, force",initial,
"jab
press","press, jab",initial,
pretend,pretend to do s.t.,initial,
"pretty
ready","pretty, ready",initial,
"peck
prick","prick, peck",initial,
"pierce
prick
stick
stuck","prick, pierce, stick, stuck",initial,
prick,prickly,initial,
promise,promise,initial,
"flat
prone (position)","prone, flat",initial,
"correct
proper
straight
upright","proper, straight, upright, correct",initial,
proper,properly,initial,
arranged (properly),(properly) arranged,initial,
"know how
properly","properly, know how to",initial,
prostrate,prostrate,initial,
"emerge
protrude","protrude, emerge",initial,
"erect
protrude",protrude/erect,initial,
"extract
pull out","pull out, extract",initial,
pull through,pull through,initial,
"pull
take","pull, take",initial,
punish,punish,initial,
purple,purple,initial,
pursue,pursue,initial,
"go after
pursue","pursue, go after",initial,
"hunt
pursue","pursue, hunt",initial,
push,push,initial,
put away,put away,initial,
put in,put in,initial,
put on,put on,initial,
"dress (V)
put on",put on (clothing),initial,
"dress (V)
put on","put on clothes, dress",initial,
"fasten
put on","put on, fasten",initial,
"attach
put on
wear","put on, wear, attach",initial,
"attack
quarrel","quarrel, attack",initial,
four,quatre,initial,
question,question,initial,
quick,quick,initial,
"clever
quick","quick, clever",initial,
quickly,quickly,initial,
"quickly
soon","quickly, soon",initial,
quiet,quiet,initial,
quiver,quiver,initial,
"quiver (V)
shake","quiver, shake",initial,
"hare
rabbit","rabbit, hare",initial,
raccoon,raccoon,initial,
rain,rain,initial,
raise up,raise up,initial,
"fast (A)
rapid","rapid, fast",initial,
rash,rash,initial,
raspberry,raspberry,initial,
rattle,rattle,initial,
raw,raw,initial,
"green
raw",raw or green,initial,
"fresh
raw","raw, fresh",initial,
"razor
shave","razor, shave",initial,
again,"re-, again",initial,
"arrive
reach","reach, arrive",initial,
"real
genuine","real, genuine",initial,
really,really,initial,
recognize,recognize,initial,
"recognize
comprehend","recognize, comprehend",initial,
"recommence
restart","recommence doing s.t., start doing s.t. after stopping",initial,
"recover
return","recover, return",initial,
red,red,initial,
"red
blood","red, blood",initial,
"reed
thatch","reed, thatch",initial,
reflect,reflect,initial,
regret,regret,initial,
rejoice,rejoice,initial,
"relate
declare","relate, declare",initial,
released,released,initial,
remain,remain,initial,
remove,remove,initial,
remove (clothing),remove (clothes),initial,
remove (from water),remove from water,initial,
remove (snow),remove snow,initial,
"remove
bare","remove, bare",initial,
"remove
gone
erase
disappear","remove, gone, erase, disappear",initial,
renew,renew,initial,
"renew
rewrite","renew, write s.t. anew",initial,
respect,respect,initial,
rest,rest,initial,
"rest
cease","rest, cease",initial,
"restless
fidgety","restless, fidgety",initial,
restrain,restrain,initial,
"restrain
forbid","restrain, forbid",initial,
"delayed
hindered","retardé, entravé",initial,
return,return,initial,
return (home),return home,initial,
succeed,réussir,initial,
"reveal
uncover","reveal, uncover",initial,
ridge,ridge,initial,
ridge shape,ridge shape,initial,
right,right,initial,
"right (ADJ)
correct","right, correct",initial,
"right (ADJ)
proper","right, proper",initial,
ring,ring,initial,
rip,rip,initial,
ripe,ripe,initial,
rise,rise,initial,
"rise (N)
hill","rise, hill",initial,
road,road,initial,
roast,roast,initial,
rob,rob,initial,
"rock (V)
swing","rock, swing",initial,
roe,roe,initial,
roll,roll,initial,
"roll
wind (V)","roll, wind",initial,
root,root,initial,
rotten,rotten,initial,
rough,rough,initial,
"rough
coarse","rough, coarse",initial,
"rough
prickly","rough, prickly",initial,
round,round,initial,
"round
circular","round, circular",initial,
row (N),row - in a,initial,
rub,rub,initial,
"rub
smear","rub, smear",initial,
"rub
wipe
wash","rub, wipe, wash",initial,
rubbed,rubbed,initial,
"rubber
gum","rubber, gum",initial,
rugged,rugged ??,initial,
ruin,ruin,initial,
"ruin
confuse","ruin, confuse",initial,
rumble,rumble,initial,
"run out
use up","run out, use up",initial,
approach,s'approcher,initial,
deviate,s'écarter,initial,
story,sacred story,initial,
"sacred
holy
spiritual
medicine","sacred, holy, spiritual, medicine",initial,
sad,sad,initial,
"protruding
erect","saillant, en érection",initial,
salt,salt,initial,
salve (V),salve (put on),initial,
"same
similar","same, similar",initial,
sand,sand,initial,
without (snowshoes),sans raquettes,initial,
"sapped
worn out
exhausted","sapped, worn out, exhausted",initial,
Sauk,Sauk,initial,
save (food),save food,initial,
say,say,initial,
scab,scab,initial,
scab,scabby,initial,
scalp dance,scalp dance,initial,
scarce,scarce,initial,
scare,scare,initial,
scared,scared,initial,
"scared
frightened
afraid","scared, frightened, afraid",initial,
"scatter
splash","scatter, splash",initial,
"scatter
sprinkle","scatter, sprinkle",initial,
scattered,épars,initial,
scattered,scattered,initial,
"scattered
distributed","scattered, distributed",initial,
"scoffingly
make fun
derisive","scoffingly, make fun, derisive",initial,
scoop,scoop,initial,
scrape,scrape,initial,
"scrape
crunch","scrape, crunch",initial,
"scrape
shave","scrape, shave",initial,
scratch,scratch,initial,
mistake,se tromper,initial,
search,search,initial,
"search
seek","search for, seek",initial,
secretly,secretly,initial,
"secretly
stealthy","secretly, stealthy",initial,
see,see,initial,
seek,seek,initial,
seek,"seek, seek to",initial,
"seek
want
stir","seek, want; stir",initial,
"seize
hold","seize, hold",initial,
sell,sell,initial,
"sell
trade","sell, trade",initial,
"sense
perceive","sense, perceive",initial,
"sensitive
weak","sensitive, weak",initial,
separate,separate,initial,
"separate (A)
aside","separate, aside",initial,
"separate (V)
apart","separating, going apart",initial,
separation,separation,initial,
"separation
loss","separation, loss",initial,
"set apart
leave over","set apart, leave over",initial,
"set aside
set apart
exclude","set aside, set apart, exclude",initial,
set (fire),set fire,initial,
settlement,settlement,initial,
seven,seven,initial,
sever,sever,initial,
"sever
cut","sever, cut",initial,
"sever
cut through","sever, cut through",initial,
big,(severally) big,initial,
severed,severed,initial,
sew,sew,initial,
"shade
shadow","shade, shadow",initial,
shady,shady,initial,
shake,shake,initial,
"shake
brush (V)
beat","shake, brush, beat",initial,
"shake
startle","shake, startle",initial,
sharp,sharp,initial,
"sharp
sharpen",sharp(en),initial,
"sharpen
grind","sharpen, grind",initial,
sheep,sheep,initial,
shell,shell,initial,
"shelter
cover","shelter, cover",initial,
"shine
sparkle","shine, sparkle",initial,
"shitty
fecal","shitty, fecal",initial,
shoe,shoe,initial,
shoot,shoot,initial,
short,short,initial,
"distance (short)
time (short)","short time, short distance",initial,
shortly,shortly,initial,
shovel (snow),shovel snow,initial,
show (feelings),show feelings,initial,
show off,show off,initial,
"shut
close (V)","shut, close",initial,
"shy
bashful","shy, bashful",initial,
sick,sick,initial,
"sick (V)
assail","sick, assail",initial,
"sick
sharp
fierce
dangerous","sick; sharp, fierce, dangerous",initial,
side (body),side of body,initial,
sideways,sideways,initial,
sift,sift,initial,
"sign
mark","sign, mark",initial,
sing,sing,initial,
"sink (V)
immerse","sink, immerse",initial,
sit,sit,initial,
six,six,initial,
"sizzle
rustle","sizzle, rustle",initial,
skill,skill,initial,
skilled,skilled in …,initial,
skillful,skillful,initial,
skin,skin,initial,
"skin (N)
clothing","skin, clothing",initial,
"skin (N)
hide","skin, hide",initial,
"skin
stripped","skin, stripped",initial,
skunk,skunk,initial,
"sky
day","sky, day",initial,
slay,slay,initial,
"sled
vehicle","sled, vehicle",initial,
sleep,sleep,initial,
slender,slender,initial,
"slide
slippery","slide, slippery",initial,
slip,slip,initial,
slippery,slippery,initial,
"slippery
smooth","slippery, smooth",initial,
slit,slit,initial,
sloppy,sloppy,initial,
slow,slow,initial,
"slow
late","slow, late",initial,
slower,slower,initial,
slowly,slowly,initial,
"slowly
carefully",slowly and carefully,initial,
small,small,initial,
small,small (pl.),initial,
"small
little","small, little",initial,
smash,smash,initial,
"smeared
streaked","smeared, streaked",initial,
smell,smell,initial,
"smell
stink","smell, stink",initial,
smoke,smoke,initial,
smoked,smoked,initial,
smooth,smooth,initial,
"smooth
stretched","smooth, stretched",initial,
sneak,sneak,initial,
sneak up,sneak up,initial,
snow,snow,initial,
so,so,initial,
"soak
immerse","soak, immerse",initial,
sock,sock,initial,
soft,soft,initial,
"soft
quiet
slow","soft, quiet, slow",initial,
soften,soften,initial,
soil,soil,initial,
sell out,épuisé,initial,
"hard
solid","solid, hard",initial,
"some
any","some, any",initial,
"some
wonder (V)",some...; I wonder...,initial,
"someone
something","someone, something",initial,
probe,sonder,initial,
soon,soon,initial,
sore,sore,initial,
"sore
inflamed","sore, inflamed",initial,
"sore
sharpen","sore, sharpen",initial,
sort,sort,initial,
go,sortir,initial,
sound,sound,initial,
"sound
hearing","sound, hearing",initial,
"sound
noise","sound, noise",initial,
sour,sour,initial,
speak,speak,initial,
"speak
pray","speak, pray",initial,
"speckled
freckled","speckled, freckled",initial,
speed,speed,initial,
speedy,speedy,initial,
"spherical
lump
clump","spherical, lump, clump",initial,
spill,spill,initial,
"spill
tip
pour","spill, tip, pour",initial,
spirit,spirit,initial,
"spiritual
power",spiritual power,initial,
spit,spit,initial,
splash,splash,initial,
split,split,initial,
"split
branch off","split, branch off",initial,
"split
break open
half","split, break open, half",initial,
"split
crack","split, crack",initial,
"spoil
ruin
blow
down","spoil, ruin; blow; down",initial,
spoon,spoon,initial,
spotted,spotted,initial,
spotted,spotted (white),initial,
"spotted
mottled","spotted, mottled",initial,
sprained,sprained,initial,
spread,spread,initial,
spread,spread on,initial,
"spread out
distribute","spread out, distribute",initial,
springtime,springtime,initial,
sprinkle,sprinkle,initial,
squashed,squashed,initial,
squat,squat,initial,
"squeak
squeaky","squeak, squeaky",initial,
squeeze,squeeze,initial,
"squeeze
squash","squeeze, squash",initial,
squeezed,squeezed,initial,
stab,stab,initial,
claim,stake claim,initial,
"stake down
stake in","stake down, stake in",initial,
stand,stand,initial,
star,star,initial,
start,start,initial,
start,start doing s.t.,initial,
"start
away","start, away",initial,
"start
move
begin","start, move, begin",initial,
"start
set out","start, set out",initial,
"startle
awaken","start(le), awaken",initial,
startle,startle,initial,
"steady
stopped
motionless
stiff
firm","steady, stopped, motionless, stiff, firm",initial,
steal,steal,initial,
"steal
sneak","steal, sneak",initial,
stick,stick,initial,
"stick (V)
affix (V)
adhere","stick to, affix to, adhere to",initial,
"sticking out
projecting","sticking out, projecting",initial,
"sticking out
protruding
sprouted","sticking out, protruding; sprouted",initial,
sticky,sticky,initial,
stiff,stiff,initial,
still,still,initial,
still (ADV),still doing s.t.,initial,
still out,still out,initial,
"fall
still out",still out < fall,initial,
"fall
still out","still out, fall",initial,
"still (ADV)
continue","still, continue",initial,
"still (A)
unmoving","still, unmoving",initial,
stink,stink,initial,
stone,stone,initial,
hammer,stone hammer,initial,
stop,stop,initial,
stop,"stop and, stop to",initial,
store,store,initial,
"stormy
angry",stormy < act angry,initial,
"stormy
angry","stormy, act angry",initial,
"story
legend","story, legend",initial,
straight,straight,initial,
"straight
across",straight across,initial,
"straight
across",straight across (to the other side),initial,
"straight
ahead",straight ahead,initial,
"straight
correctly","straight, correctly",initial,
"straight
correctly
properly","straight, correctly, properly",initial,
"straight
right (ADV)
properly","straight, right, properly",initial,
strange,strange,initial,
stray,stray,initial,
stretch,stretch,initial,
stretch out,stretch out,initial,
"stretch
long","stretch, long",initial,
"stretch
stretchy","stretch, stretchy",initial,
strict,strict,initial,
strike,strike,initial,
"strike
beat","strike, beat",initial,
string,string,initial,
striped,striped,initial,
stripped,stripped,initial,
"stroke
rub","stroke, rub",initial,
strong,strong,initial,
taste,strong taste,initial,
"strong
active
firm","strong, active, firm",initial,
"strong
hard","strong, hard",initial,
"strong
hard
tough","strong, hard, tough",initial,
stubborn,stubborn,initial,
"stubby
blunt","stubby, blunt",initial,
stuck,stuck,initial,
"stuck
transgress","stuck, transgress",initial,
"stuck
evil
retribution","stuck; evil, retribution",initial,
"stumble
uncoordinated","stumble, uncoordinated",initial,
submerge,submerge,initial,
submit,submit ??,initial,
"subside
diminish","subside, diminish",initial,
succession,succession,initial,
such,such,initial,
"such
manner
way","such, manner, way",initial,
suck,suck,initial,
suckle,suck at the breast,initial,
suckle,suckle,initial,
suddenly,suddenly,initial,
suffer,suffer,initial,
sufficient,sufficient,initial,
sugar,sugar,initial,
"sulk
dissatisfied","sulk, dissatisfied",initial,
summer,summer,initial,
sun,sun,initial,
"sun
moon
month","sun, moon, month",initial,
superimposed,superposé,initial,
"support
trust","support, trust",initial,
"self-confident
mature","sûr de soi, mature",initial,
on (back),sur le dos,initial,
"surface
shallow","surface, shallow",initial,
"surprise
strange","surprise, strange",initial,
"surround
cover","surround, cover",initial,
surrounding,surrounding something,initial,
"susceptible
sensitive","susceptible, sensitive",initial,
suspect,suspect,initial,
"swaddle
wrap","swaddle, wrap",initial,
swallow,swallow,initial,
"swallow (V)
throat","swallow, throat",initial,
swamp,swamp,initial,
sweat,sweat,initial,
sweat bath,sweat bath,initial,
"sweep
chop","sweep, chop",initial,
"sweep
away",sweep/away,initial,
sweet,sweet,initial,
"sweet
sour","sweet, sour",initial,
swell,swell,initial,
swing,swing,initial,
"swing (V)
wave","swing, wave",initial,
"switch (V)
exchange","switch, exchange",initial,
swollen,swollen,initial,
"swollen
knock",swollen; knock,initial,
sympathetic,sympathetic,initial,
take,take,initial,
take away,take animate object away,initial,
"take apart
take off
loosen
undo","take apart, take off, loosen, undo",initial,
take hold,take hold,initial,
take off,take off,initial,
"take off
doff","take off, doff",initial,
"take out
move","take out, move",initial,
"take
catch
receive","take, catch, receive",initial,
"take
get","take, get",initial,
"take
pick up","take, pick up",initial,
talk,talk,initial,
"talk
speak","talk, speak",initial,
tall,tall,initial,
"tallow
fat (N)","tallow, animal fat",initial,
tame,tame,initial,
tangled,tangled,initial,
taper,tapering at base,initial,
"tattered
riotous
loudly","tattered, riotous, loudly",initial,
tear,tear,initial,
tell,tell,initial,
temporary,temporary,initial,
ten,ten,initial,
ten,ten in number,initial,
"tend to
seek to","tend to, seek to",initial,
"tent
pole",tent pole,initial,
"terminate
end
rid of","terminate, end, be rid of",initial,
test,test,initial,
"test
try","test, try",initial,
upside down,tête en bas ,initial,
way (that),that way,initial,
"so
way (that)","(that) way, (so)",initial,
"taste
flavor","the taste, flavor of a thing",initial,
"then
there","then, there",initial,
"from there
thence
therefore","thence, therefore",initial,
there,there,initial,
"far
there","there, far from reference point",initial,
there,"there, over there",initial,
thick,thick,initial,
"thick
dense","thick, dense",initial,
thin,thin,initial,
"thin
flat","thin, flat",initial,
"thin
flat","thin, flattened",initial,
"think
decide","think, decide",initial,
"think
decide
know","think, decide, know",initial,
this selfsame,this selfsame,initial,
way (this),this way,initial,
thistle,thistle,initial,
thither,thither,initial,
"thither
thus","thither, thus",initial,
"thither
thus","thither, thus (of plural objects)",initial,
"so
thither
thus","thither, thus, so",initial,
"thorn
rose","thorn, rose",initial,
thorny,thorny,initial,
thread,thread,initial,
"thread (V)
replace",thread through; replace,initial,
three,three,initial,
"throb
ache","throb, ache",initial,
through,through,initial,
through,through an opening,initial,
through (frozen surface),through frozen surface,initial,
through,through him/it,initial,
through,through opening,initial,
through,"through, as in transparent objects",initial,
"hole
passage
through
tunnel","through, by a passage, hole, tunnel, etc.",initial,
through,"through, by passing among or between multiple objects",initial,
through,"through, by penetration",initial,
through,"through, by piercing an object or surface",initial,
"through
during
while
among","through, during, among",initial,
through,"through, through him/it",initial,
throw away,throw away,initial,
"throw
fling","throw, fling",initial,
thunder,thunder,initial,
thunderer,thunderer,initial,
thus,thus,initial,
"thus
so","thus, so",initial,
"thus
so
there","thus, so, there",initial,
"thither
thus","thus, thither",initial,
tidy,tidy,initial,
tie,tie,initial,
tie,tie around,initial,
tie (fast),(tie) fast,initial,
tight,tight,initial,
fit (tight),tight fit,initial,
"tight
tightly",tight(ly),initial,
"tightly
closely","tightly, closely",initial,
tiny,tiny,initial,
tire,tire,initial,
tired,fatigué,initial,
