English word,Source definition(s),Plains Cree word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
train,"train, locomotive",iskotêwitâpân,iskotêw-,fire,,,,,-tâpân,[drag],derivation: secondary,Metonymy: associated attribute (artifact),
train,,pîwâpiskotâpân,pîwâpiskw- (na),"metal, piece of metal, metal object; steel blade; iron; screen of wire-mesh; dollar",,,,,-tâpân,[drag],derivation: secondary,Metonymy: associated attribute (artifact)? or substance?,
TURNIP,,otisîhkân,otisiy- [cf. nitisiy],[my belly-button],,,,,-ihkân,"substitute, surrogate",derivation: secondary,??,
type (V),s/he types,masinahikanipicikêw,masinahikanipit- [< masin- 'mark' + -ah ('instrument'?) + -ikan (nominalizer?) + -pit (?)],,,,,,-ikê,[= -kê 'action on a general goal'?],derivation: secondary,??,non-occurring stem?
violin,,---,,,,,,,,,---,---,
WAGON,"wagon, vehicle",otâpân,"[pull, drag?]",,,,,,,,,,
WAGON,,nêwokâtêw,nêwokâtê-,[homophonous w/ 'it is four-legged' - same thing?,,,,,-w,[nominalizer?],---,---,
washing machine,"washer, washing machine",kisîpêkini-mahkahk,[cf. kisîpêkinam],"[s/he washes s.t. (e.g. clothing)] + tub, barrel; washtub; box",,,,,,,compounding: V+N(?),metonymy: associated action + associated feature (shape?)??,
washing machine,,kisîpêkinikâkan,kisîpêkin- [cf. kisîpêkinam],[s/he washes s.t. (e.g. clothing)],,,,,-ikâkan,(nominalizer?),derivation: secondary,metonymy: associated action,
washing machine,,kisîpêkinikêpaýîs,kisîpêkinikêpaýiw [contains final -payi(?)],[final 'move'],,,,,-is,diminutive,derivation: secondary,metonymy: associated action,little moving washing thing???
WATERMELON,,---,,,,,,,,,---,---,
WEDNESDAY,"it is Wednesday; literally: '(it is) the third day""; three days, for three days",nisto-kîsikâw,,three + day/it is day,,,,,,,compounding: part+V,metonymy: associated feature (quantity),"""literally: ""(it is) the third day"""""
WEDNESDAY,"it is Wednesday; literally: ""(it is) middle day""",âpihtâwi-kîsikâw,,half + day/it is day,,,,,,,compounding: preV+V,metonymy: associated feature (quantity),"""literally: ""(it is) middle day"""""
WEDNESDAY,it is Wednesday; it is mid-week; it is at the half-way point,âpihtâwipaýiw,âpihtâw,half,,,,,-paýi,move,derivation: secondary,metonymy: associated feature (quantity),
WHEAT,"grain, wheat, seed; sheaf of grain; oats",kistikân,kistikê-,(seed?),,,,,-n,(nominalizer?),derivation: secondary,??,
whiskey,"whiskey, alcohol, liquor",iskotêwâpoy,iskotêw,fire,,,,,-âpoy,"broth, soup [maybe just liquid?]",derivation: secondary,metonymy: associated sensation (taste),
white people,,---,,,,,,,,,---,---,
WINDOW,,wâsênamân,wâsênamâ- [cf. wâsênam],"[s/he makes light, s/he lights s.t., s/he puts the lights on]",,,,,-n,(nominalizer?),derivation: secondary,metonymy: associated state?,"changes state of lightedness? window = ""it lights""? "
WINDOW,"mirror; glass, window",wâpamonâpisk,wâpamon-,mirror,,,,,-âpiskw,[metal? inorganic solid?],derivation: secondary (or compounding?),metonymy: associated substance,
"wine, grape juice",wine  CHECK,sôminâpoy,sômin,"grape, raisin",,,,,-âpoy,"broth, soup [maybe just liquid?]",derivation: secondary,metonymy: associated substance,
wine,red wine,mihkominâpoy,mihkomin- [mihkw- 'red' + -min 'berry'],[red berry],,,,,-âpoy,"broth, soup [maybe just liquid?]",derivation: secondary,metonymy: associated substance + feature (color),
wrench,,âpahikan,âpah- [âp- (?) + -ah (instrument?)],[loosen?],,,,,-ikan,[nominalizer?],derivation: secondary,metonymy: associated action (?),"cf. âpahwêw 's/he unharnesses s.o.; s/he untie s.o., s/he unbinds s.o., s/he loosens s.o., s/he unbundles s.o.'"
wrench,monkey wrench,âpahôstêhikan,âpahôstêh-,[unwind?],,,,,-ikan,[nominalizer?],derivation: secondary,metonymy: associated action (?),cf. âpahôstêhwêw 's/he unwinds s.o. (with a wrench)'
wrench,twist-tobacco; wrench,pîminikan,pîmin- [< pîminêw],s/he twists s.o.,,,,,-ikan,[nominalizer?],derivation: secondary,semantic extension (other - ???),instrument for twisting - goes from resulting object to instrument
wringer (on a washing machine),,---,,,,,,,,,---,---,
